,Audio,Visual,AV
0,402.348692152889,390.6347474747196,347.63013972053346
1,398.93744939268424,398.9577777777494,353.0131736526689
2,397.59348268836277,401.2525252524968,350.3187999999744
3,409.20343434340543,400.612653061196,349.2764471057629
4,400.11646341460573,399.7833333333049,350.5940119760223
5,394.671111111083,397.50161616158783,347.0485999999746
6,393.8154929577184,400.44787878785036,347.4301397205334
7,396.75987903222983,397.8348268838821,345.76946107781896
8,390.2012145748709,406.30081135899763,349.92754491015404
9,398.2445344129272,399.9989711933872,350.42339999997444
10,403.90508130078433,403.3913131312845,350.9047999999744
11,393.81333333330525,401.60404040401187,347.94451097801846
12,397.73259557341237,397.7400406503782,347.3461077844057
13,406.5252525252237,403.57535353532495,353.30059880236945
14,399.94401622715213,396.5564516128749,349.2672654690364
15,397.11693877548197,400.29734151326403,351.17539999997433
16,397.9616935483588,404.1950617283664,352.60718562871676
17,400.47454545451706,400.87363083161455,349.1011976047649
18,393.12170385392733,403.09714867614247,351.42059999997434
19,389.67177914107646,405.67845528452415,350.47859999997445
20,398.25225409833234,398.94918699184154,346.94658634535614
21,403.9247967479388,406.8109533468272,347.9702594810124
22,399.2286868686585,404.41244979916814,349.8820359281181
23,390.73079999997213,406.3020408162978,348.42854291414613
24,399.7903420522855,407.5237903225518,349.8836327345054
25,399.62606924640744,401.1123983739552,350.0178356713171
26,399.7127016128748,404.6130081300526,351.4367999999743
27,403.54396728013495,406.8936991869631,352.5644710578585
28,397.819879518044,400.2071138211098,348.6397205588567
29,399.1612576064625,405.3852822580358,347.8734530937869
