,Audio,Visual,AV
0,385.35042735039974,375.3108761329035,347.63013972053346
1,385.2883522726997,382.2250755286735,353.0131736526689
2,384.8205714285439,378.0778115501248,350.3187999999744
3,393.99715099712296,386.70457317070407,349.2764471057629
4,381.4319999999726,383.5705167172978,350.5940119760223
5,381.12792022789296,380.5075528700633,347.0485999999746
6,378.24062499997285,382.23413897278226,347.4301397205334
7,380.74192634558176,383.634848484821,345.76946107781896
8,377.1475783475513,390.3621212120933,349.92754491015404
9,378.1151862463912,383.77852760733447,350.42339999997444
10,391.0712250711972,380.35666666663934,350.9047999999744
11,378.64447592065267,388.0329305135674,347.94451097801846
12,384.43903133900375,372.06048632216164,347.3461077844057
13,386.43361823359055,383.2629179331032,353.30059880236945
14,377.89857142854424,382.5384848484574,349.2672654690364
15,381.917291066255,379.67213622288295,351.17539999997433
16,379.4465714285442,388.95823170728926,352.60718562871676
17,381.19629629626894,388.51768292680146,349.1011976047649
18,378.40994318179105,389.7577160493549,351.42059999997434
19,375.6097982708664,388.5259146341186,350.47859999997445
20,381.03775216135585,383.5060790273281,346.94658634535614
21,386.62349570197813,388.09939577036505,347.9702594810124
22,384.6792613636089,380.3106060605788,349.8820359281181
23,374.68271954671525,387.6091463414357,348.42854291414613
24,381.2852691217857,382.32507552867344,349.8836327345054
25,380.9749999999726,387.81661631417165,350.0178356713171
26,382.4891737891463,393.8259146341183,351.4367999999743
27,387.61494252870784,380.09452887535264,352.5644710578585
28,384.0693181817906,382.44072948325527,348.6397205588567
29,385.31595441592685,380.9969512194848,347.8734530937869
