,Audio,Visual,AV
0,840.1888888888353,842.0080246913044,728.0235528941645
1,635.8280701753968,845.3777777777241,583.4439121756099
2,518.3568047336926,841.6214723925845,474.1147704590492
3,434.87844311374204,826.685802469083,401.79056224896743
4,373.4149700598533,838.5827160493293,343.4254065040398
5,330.78598726112205,838.093251533689,302.73958762884314
6,301.8762499999772,835.1877300612967,271.8877338877128
7,275.45947712416165,846.4147239263267,238.22008368198917
8,828.8432748537484,634.5820987653904,583.4495009979652
9,620.8023391812457,627.3828220858483,527.9856287424793
10,511.74882352937703,635.5680981594675,457.2357285428825
11,433.11636363633335,625.7104938271192,398.0895999999717
12,377.30967741932767,618.9312883435174,342.135887096749
13,341.69874213833964,633.2180124223186,307.99304703474166
14,302.06898734174933,633.7417177913694,274.40331950205336
15,258.5324675324472,628.3319018404494,236.79037656901852
16,831.1649122806488,516.6432098765081,470.9015968063548
17,623.1035087718888,519.3276729559398,460.87804391214377
18,518.3810650887223,524.454088050279,417.977445109751
19,454.76964285711125,500.76419753083,380.9093812374976
20,385.0465838509041,508.01677018630085,332.72837022130335
21,329.98633540370224,503.83416149064897,299.68588957052947
22,297.6541935483645,522.6844720496541,263.4824999999793
23,265.4544217686867,502.8691358024349,240.75579399139693
24,837.1134502923444,434.6606451612599,398.9100603621447
25,619.0368421052223,434.40822784807085,388.7274549097919
26,521.3116959063974,442.3162499999691,377.03572854288706
27,440.0048484848179,432.758333333303,346.93233532931595
28,380.05597484274,433.13850931673994,319.61903807612845
29,343.7220858895453,430.64303797465345,290.3028112449577
30,298.2481249999774,442.6968152865934,262.7955193482482
31,260.873885350298,439.35911949682475,237.39671457903628
32,833.7450292397131,385.74370860924387,344.64250513344496
33,639.6807017543439,383.05812499997256,345.170422535186
34,505.8941176470244,407.78766233763344,338.44168336670856
35,443.87261904758805,374.36265822782116,318.0772455089583
36,391.78580246910786,397.7074999999717,302.9183632734302
37,350.11132075469135,385.5248366012796,275.4737474949686
38,318.1698113207309,385.89605263155136,259.1734817813561
39,256.8980132450128,366.7074999999735,234.71293634495018
40,847.8426900584257,331.50592105260705,299.85644171776863
41,651.7432748537585,332.21103896101437,303.1325819671902
42,522.0589285713932,343.89999999997474,298.9155555555329
43,435.3719512194818,341.8251612902975,290.6022177419133
44,387.0111801241959,339.96898734174715,276.57584830337186
45,348.62283950614733,339.49150326794893,260.44339999997953
46,301.30062111798964,340.8288461538211,244.20462776658005
47,258.74658385091135,335.08789808914725,221.66573146290756
48,851.0894117646518,305.13399999997694,270.25383022772223
49,632.0877192982039,297.3331168830943,266.33306122446896
50,524.1321428571074,291.700653594749,266.85460122697305
51,442.94819277105347,305.8773333333103,261.302040816306
52,381.6108433734666,287.4442307692088,252.29758064514124
53,341.5044303797218,293.7986394557599,239.22132796778757
54,304.8738853502955,295.42333333331084,231.38895582327433
55,258.7668874171981,317.1300653594534,212.86680327867074
56,836.3467836256779,260.5006711409191,239.40865979379512
57,631.8958823528995,264.08310810808746,237.8945263157703
58,503.45204678359147,268.21523178805853,241.47282157674405
59,440.4658682634423,258.0793103448072,238.17084188909783
60,386.42160493824395,253.10680272106842,228.67474541749658
61,359.2126506023835,260.3457516339664,222.12790224030752
62,301.273619631879,265.81999999997925,215.306530612227
63,269.05389610387516,266.89798657716034,203.69134808851393
