,Audio,Visual,AV
0,768.314242424193,771.5893491123765,728.0235528941645
1,568.0003030302651,770.8801775147434,583.4439121756099
2,456.5351515151199,762.6074183975771,474.1147704590492
3,386.8984802431334,765.3636094674065,401.79056224896743
4,327.4228395061486,766.5396449703649,343.4254065040398
5,287.97791411040737,768.218639053205,302.73958762884314
6,256.94018691586757,760.6005917159274,271.8877338877128
7,219.87993827158675,766.4786982248028,238.22008368198917
8,767.4263636363142,571.6689349112044,583.4495009979652
9,571.592121212083,563.3967455620925,527.9856287424793
10,455.9626139817313,561.2482248520334,457.2357285428825
11,384.6871951219237,571.2147928993702,398.0895999999717
12,327.0509146341221,570.6710059171216,342.135887096749
13,295.429141104272,559.415088757359,307.99304703474166
14,260.7252336448393,563.9186390532167,274.40331950205336
15,226.58487654319129,576.0065088757012,236.79037656901852
16,769.0109090908597,449.81068249255037,470.9015968063548
17,578.1410334346119,452.6804154302356,460.87804391214377
18,449.86402439021265,452.21483679522083,417.977445109751
19,385.20731707314314,463.03264094952294,380.9093812374976
20,326.02782874615315,451.9106824925502,332.72837022130335
21,295.934461538439,450.31390532541246,299.68588957052947
22,250.26645962730927,459.25355029582624,263.4824999999793
23,229.25632911390537,459.9600591715658,240.75579399139693
24,757.737575757527,378.68308605338524,398.9100603621447
25,563.2915151514775,380.83303571425836,388.7274549097919
26,455.24741641334225,385.5642857142581,377.03572854288706
27,373.0457317072902,383.7106824925541,346.93233532931595
28,334.65744680848593,379.5928783382517,319.61903807612845
29,287.21280487802676,390.4256716417632,290.3028112449577
30,256.66490683227784,378.3059880239249,262.7955193482482
31,229.49135802467262,376.29580838320646,237.39671457903628
32,771.4533333332839,322.7012048192531,344.64250513344496
33,574.2793939393556,333.4023880596768,345.170422535186
34,454.30909090905936,332.1783382789072,338.44168336670856
35,387.01230769228005,325.5836309523568,318.0772455089583
36,334.6006116207704,334.51347305386753,302.9183632734302
37,293.0669724770419,331.73875739642517,275.4737474949686
38,261.1869969040042,336.7832335329093,259.1734817813561
39,234.1398773005945,333.0928358208709,234.71293634495018
40,771.5221212120717,287.69109792282666,299.85644171776863
41,564.406666666629,292.5743202416695,303.1325819671902
42,460.86231003036323,286.5153153152934,298.9155555555329
43,384.6821538461263,290.0753012047971,290.6022177419133
44,326.2614197530622,292.19820895520155,276.57584830337186
45,291.26904024765577,289.99099099096884,260.44339999997953
46,255.77151702784354,290.2168168167947,244.20462776658005
47,221.34402515721447,284.60328358206766,221.66573146290756
48,771.1221212120716,254.5420420420219,270.25383022772223
49,565.4309090908712,252.90654761902755,266.33306122446896
50,465.5434650455605,258.82175226584064,266.85460122697305
51,375.94660493824455,255.35714285712268,261.302040816306
52,343.2797546012018,253.68734939757024,252.29758064514124
53,292.50892307690077,248.90845921448167,239.22132796778757
54,255.12173913041462,255.2027027026825,231.38895582327433
55,226.50311526477893,254.85701492535298,212.86680327867074
56,759.7812121211632,230.05535714283837,239.40865979379512
57,568.8727272726892,226.31039755349832,237.8945263157703
58,459.49726443765815,229.785060975591,241.47282157674405
59,381.683333333306,229.307575757557,238.17084188909783
60,323.79331306988473,224.23595166161297,228.67474541749658
61,289.17920489294426,225.18723404253473,222.12790224030752
62,258.11712538224265,227.6777439024204,215.306530612227
63,229.75771604936395,219.3453703703522,203.69134808851393
